         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            56886748              18        24.94        30.92          448.92          556.56
            28166727               8        17.58        23.34          140.64          186.72
            66910032              10        12.87        17.11          128.70          171.10
            76502369               7        12.35        16.47           86.45          115.29
            59333352              73        25.88        29.43         1889.24         2148.39
            30174319              22        29.51        33.43          649.22          735.46
            32895121              61        28.99        32.57         1768.39         1986.77
            81912584              99        26.86        31.94         2659.14         3162.06
            44735928               9        27.18        31.76          244.62          285.84
            88550476              20        21.62        24.86          432.40          497.20
            37413158              28        28.57        33.34          799.96          933.52
            77086936              79        19.91        25.81         1572.89         2038.99
            27972823              12        28.73        32.17          344.76          386.04
            22307784              99        14.22        19.97         1407.78         1977.03
            24467721               3        15.72        21.71           47.16           65.13
            34171236              19        24.01        29.29          456.19          556.51
            26383509              27        22.91        27.15          618.57          733.05
            80101956              97        23.40        28.25         2269.80         2740.25
            73831091              86        25.67        30.20         2207.62         2597.20
            53972005              43        22.81        28.51          980.83         1225.93
            32216703              97        23.12        28.83         2242.64         2796.51
            83762728              45        22.25        25.31         1001.25         1138.95
            35342162              75        29.91        34.65         2243.25         2598.75
            67317709              16        10.27        15.03          164.32          240.48
            50295179              88        23.09        28.10         2031.92         2472.80
            58759637              78        15.20        18.21         1185.60         1420.38
            63706075              21        15.39        21.26          323.19          446.46
            56664402              75        12.40        15.93          930.00         1194.75
            60384491              55        28.17        32.53         1549.35         1789.15
            49493175              39        14.55        19.03          567.45          742.17
            60410146              21        26.93        32.34          565.53          679.14
            79195238              21        11.38        15.86          238.98          333.06
            77086674              85        18.06        23.88         1535.10         2029.80
            85598406              64        10.32        14.12          660.48          903.68
            53717044              66        16.04        20.59         1058.64         1358.94
            70178351               1        19.18        24.56           19.18           24.56
            69855441              96        15.56        18.77         1493.76         1801.92
            40160899              46        10.83        14.53          498.18          668.38
            55396347              65        12.49        18.04          811.85         1172.60
            83234292              26        23.80        29.24          618.80          760.24
            69730813              84        12.39        17.64         1040.76         1481.76
            71529535              21        27.36        31.04          574.56          651.84
            57739204               1        23.02        27.52           23.02           27.52
            79170842              16        29.59        34.75          473.44          556.00
            32913509              42        11.94        16.43          501.48          690.06
            35631998              79        25.89        29.56         2045.31         2335.24
            60360685              42        28.86        33.14         1212.12         1391.88
            56953445              35        21.16        25.85          740.60          904.75
            43771833              50        18.24        21.52          912.00         1076.00
            34389249              83        17.68        22.58         1467.44         1874.14
            81138617              46        15.15        19.76          696.90          908.96
            76147512              40        24.26        27.40          970.40         1096.00
            14698138              39        15.68        21.08          611.52          822.12
            83391843              30        20.31        23.67          609.30          710.10
            63689991              40        26.49        31.87         1059.60         1274.80
            41610696               9        14.03        17.30          126.27          155.70
            88491828              34        29.57        34.24         1005.38         1164.16
            85699860              21        20.28        23.37          425.88          490.77
            46132369              64        28.23        32.34         1806.72         2069.76
            29257517              83        10.76        13.93          893.08         1156.19
            74497902              82        20.00        23.21         1640.00         1903.22
            13258730              62        19.61        24.99         1215.82         1549.38
            15963630               5        29.36        32.93          146.80          164.65
            17800899              16        22.20        26.01          355.20          416.16
            33429908              40        26.09        30.14         1043.60         1205.60
            61299263              98        29.11        33.01         2852.78         3234.98
            42578554              20        17.59        21.44          351.80          428.80
            35537534              60        27.18        32.16         1630.80         1929.60
            79490708              84        10.37        15.25          871.08         1281.00
            43416112              72        25.53        28.62         1838.16         2060.64
            65915441              71        18.19        24.01         1291.49         1704.71
            11531675              85        10.99        16.11          934.15         1369.35
            70401508              98        28.82        34.04         2824.36         3335.92
            73324460              35        13.12        18.60          459.20          651.00
            41721415              31        12.02        17.97          372.62          557.07
            58810322               4        19.17        25.03           76.68          100.12
            77803747              70        26.72        29.74         1870.40         2081.80
            77445705              30        29.18        33.65          875.40         1009.50
            22142782              41        17.65        21.80          723.65          893.80
            35539581              17        16.74        22.13          284.58          376.21
            84623811               2        15.66        20.90           31.32           41.80
            54366510              24        13.73        18.58          329.52          445.92
            31641263              48        20.95        26.17         1005.60         1256.16
            88452976              45        13.45        17.83          605.25          802.35
            56827836              55        15.74        20.17          865.70         1109.35
